,model,cost_evaluation,error_evaluation,runtime,sqrt_runtime,scaled_runtime
0,Naive weekly,22999.5976933497,0.43087930299574745,0.5143091678619385,0.7171535176389631,0.8012008880276913
1,Naive daily,19551.910226843742,0.6904239337080903,0.5080795288085938,0.7127969758694223,0.7979528538804296
2,RegressionModelLags,15631.665946244433,0.3988765495893621,17.241672039031982,4.152309241739105,2.5834087526671237
3,RegressionModelLags18,15744.919826386398,0.3422463622032993,14.797108888626099,3.8467010396736185,2.4550421711943584
4,RegressionModelLags6a,27901.53852628846,1.274703922376766,19.464348793029785,4.411841882142852,2.6899649803592625
5,RegressionModelLags6b,26734.697425166065,1.7777491069266957,19.183193922042847,4.379862317703931,2.676950284596822
6,RegressionModelLags6c,25270.35896659729,0.4588329473832555,17.073060274124146,4.131955986469864,2.5749598271483785
7,RegressionModelCov,17071.49098228594,0.3766398494551194,27.471434116363525,5.241319883041248,3.0173598739880467
8,LGBM_cov,20921.31981317902,0.4352596245962342,46.011056423187256,6.7831450244843845,3.5833349182624374
9,LGBM_no_cov,19535.29837276643,0.4568156343857257,34.212810754776,5.849171800757437,3.246356809245047
10,Theta,16272.828106153436,0.3131724921684384,1.441082239151001,1.2004508482861767,1.1295260599364148
11,FFT,13174.729839314186,0.6687268489292298,0.894207239151001,0.9456253164710645,0.9634134988752293
12,Fact,91.00002194951493,0.0,0.5080795288085938,0.7127969758694223,0.7979528538804296
13,median_of_all_models,18763.039194140227,0.3196819939099506,399.6570448875427,14.136071676522135,7.365956632780777
14,Fact (no control),30692.83688403,0,0.5080795288085938,0.7127969758694223,0.7979528538804296
